id,label
4066,alpha
4125,alpha
2435,alpha
3647,alpha
1049,alpha
7036,alpha
6081,alpha
7577,gamma
8167,gamma
6203,alpha
1928,alpha
2494,alpha
7232,alpha
5364,ductal
5424,ductal
7262,alpha
5103,alpha
1865,alpha
6006,alpha
6154,alpha
7824,alpha
2442,alpha
2488,alpha
1733,alpha
8541,beta
7110,alpha
7224,alpha
2489,alpha
6361,alpha
6301,alpha
7197,alpha
7069,alpha
5339,alpha
1000,alpha
4444,alpha
7016,alpha
6077,alpha
6017,delta
2211,beta
8393,alpha
2945,alpha
866,alpha
7174,alpha
6225,alpha
6008,alpha
7802,alpha
8399,alpha
3627,alpha
5368,alpha
7218,alpha
4424,alpha
5302,alpha
1025,alpha
8269,alpha
4457,alpha
1538,alpha
4378,alpha
3068,alpha
3053,alpha
3054,alpha
7854,alpha
7100,alpha
6200,alpha
7008,alpha
6198,alpha
7148,alpha
4504,alpha
8428,alpha
1875,alpha
4430,alpha
5007,alpha
843,alpha
1686,alpha
5122,alpha
971,alpha
4081,alpha
6272,alpha
7266,alpha
6314,delta
4533,quiescent_stellate
4510,delta
5340,ductal
7230,delta
8523,delta
6340,delta
1811,delta
5350,delta
4284,delta
3052,delta
6262,delta
1658,delta
415,delta
1036,delta
7114,delta
7223,alpha
7258,alpha
4479,alpha
5407,alpha
519,alpha
1147,alpha
1833,alpha
4554,alpha
5386,alpha
8549,alpha
2382,alpha
2966,alpha
2702,alpha
3398,alpha
3272,alpha
3278,alpha
3637,alpha
3616,alpha
3631,alpha
3629,alpha
1896,alpha
2483,ductal
2461,ductal
6258,alpha
5237,alpha
6267,alpha
7753,alpha
4236,alpha
4814,alpha
4360,alpha
4467,alpha
5224,alpha
1133,alpha
7156,alpha
4158,alpha
159,alpha
5125,alpha
5959,alpha
1796,alpha
494,alpha
7133,alpha
1129,alpha
1769,gamma
7724,gamma
3649,gamma
7841,gamma
8459,gamma
7771,gamma
8505,gamma
8436,gamma
8246,gamma
3535,gamma
8381,gamma
7768,beta
3590,gamma
8217,gamma
2949,gamma
8438,gamma
8261,gamma
8182,gamma
479,gamma
3622,gamma
7775,beta
6009,ductal
5728,alpha
5336,quiescent_stellate
1149,alpha
5429,alpha
933,epsilon
315,beta
1729,epsilon
1781,epsilon
2336,epsilon
6650,epsilon
7592,epsilon
309,epsilon
3010,ductal
6318,mast
7125,alpha
274,alpha
6128,activated_stellate
7757,beta
8411,beta
8344,beta
7696,beta
369,beta
1641,quiescent_stellate
8334,beta
8357,beta
8348,beta
8102,beta
8460,beta
6324,alpha
2480,beta
8522,activated_stellate
5384,beta
7182,beta
7855,beta
4177,delta
7208,beta
4894,beta
546,beta
556,beta
8553,beta
1931,beta
8561,beta
1141,beta
1794,mast
1192,beta
1685,beta
416,beta
563,beta
3650,beta
539,beta
1910,beta
1893,beta
1922,beta
8537,beta
3651,beta
8499,beta
5365,beta
1850,beta
1144,beta
1172,beta
3418,beta
3639,beta
3093,beta
6321,beta
8564,beta
4541,beta
5432,beta
524,beta
1555,beta
341,beta
379,beta
8543,beta
6082,activated_stellate
172,beta
1586,beta
1673,beta
881,endothelial
961,beta
1529,beta
5953,beta
517,beta
2475,beta
6648,beta
3088,beta
1930,beta
1879,beta
4536,beta
1727,mast
5385,beta
7317,beta
1836,beta
1116,beta
2912,beta
1906,beta
1092,beta
1790,beta
1124,beta
2832,beta
1867,beta
2841,beta
1927,beta
7842,beta
8504,beta
8451,beta
8533,beta
7655,beta
7776,beta
5372,alpha
8220,beta
4555,beta
8559,beta
3362,beta
6025,beta
1521,beta
8546,beta
7051,activated_stellate
7863,beta
7852,beta
470,beta
8560,beta
1936,beta
8221,beta
8491,beta
8493,beta
5379,beta
7245,beta
6365,beta
3653,beta
2479,beta
547,beta
2840,beta
7703,beta
7769,beta
7681,beta
7702,beta
4412,delta
7808,beta
8521,beta
8007,beta
7765,beta
3569,ductal
8374,beta
7591,beta
8351,beta
8283,beta
2476,ductal
335,beta
7220,quiescent_stellate
5866,endothelial
4274,quiescent_stellate
4428,quiescent_stellate
6334,quiescent_stellate
4999,activated_stellate
5325,quiescent_stellate
6255,endothelial
5259,quiescent_stellate
5716,activated_stellate
5952,activated_stellate
6824,quiescent_stellate
4053,activated_stellate
6960,activated_stellate
5956,activated_stellate
4131,activated_stellate
6102,activated_stellate
4254,activated_stellate
4114,activated_stellate
4352,activated_stellate
6041,activated_stellate
3193,quiescent_stellate
4042,activated_stellate
4265,activated_stellate
6897,activated_stellate
4408,activated_stellate
5949,activated_stellate
4314,activated_stellate
4974,activated_stellate
5098,activated_stellate
5208,activated_stellate
4343,activated_stellate
4257,activated_stellate
7219,activated_stellate
1103,activated_stellate
5315,activated_stellate
6239,activated_stellate
5239,activated_stellate
5725,endothelial
4026,activated_stellate
3937,activated_stellate
5179,activated_stellate
4185,activated_stellate
2408,activated_stellate
8303,activated_stellate
2882,activated_stellate
2925,activated_stellate
3251,activated_stellate
2171,activated_stellate
3279,activated_stellate
7759,activated_stellate
5987,activated_stellate
6816,activated_stellate
6970,endothelial
6135,activated_stellate
4058,activated_stellate
6919,activated_stellate
5951,activated_stellate
7737,activated_stellate
8310,activated_stellate
2944,activated_stellate
1043,activated_stellate
988,activated_stellate
3064,activated_stellate
8337,activated_stellate
2996,activated_stellate
2897,activated_stellate
3347,quiescent_stellate
3453,activated_stellate
2641,activated_stellate
2739,quiescent_stellate
2381,activated_stellate
3450,activated_stellate
8458,activated_stellate
2819,activated_stellate
3213,activated_stellate
2871,activated_stellate
8468,activated_stellate
3584,activated_stellate
3055,activated_stellate
3641,activated_stellate
2958,quiescent_stellate
2460,activated_stellate
5151,activated_stellate
1920,quiescent_stellate
7042,activated_stellate
1155,activated_stellate
1884,activated_stellate
6263,quiescent_stellate
6327,quiescent_stellate
8554,activated_stellate
452,quiescent_stellate
5318,activated_stellate
5255,activated_stellate
6167,activated_stellate
3524,quiescent_stellate
5209,activated_stellate
7815,activated_stellate
399,activated_stellate
2315,quiescent_stellate
3525,quiescent_stellate
3594,quiescent_stellate
3049,activated_stellate
8565,activated_stellate
2717,activated_stellate
3375,activated_stellate
1510,activated_stellate
786,activated_stellate
219,activated_stellate
2972,activated_stellate
2878,quiescent_stellate
2854,quiescent_stellate
2444,quiescent_stellate
3067,activated_stellate
5352,activated_stellate
7250,schwann
4545,endothelial
7814,activated_stellate
3596,activated_stellate
8264,activated_stellate
2418,activated_stellate
2287,activated_stellate
2224,activated_stellate
3326,quiescent_stellate
2432,activated_stellate
5875,activated_stellate
432,quiescent_stellate
942,activated_stellate
4330,activated_stellate
7015,activated_stellate
5218,activated_stellate
4160,activated_stellate
8155,activated_stellate
450,activated_stellate
7716,quiescent_stellate
877,activated_stellate
6029,endothelial
1058,endothelial
6847,macrophage
892,activated_stellate
4902,activated_stellate
4022,activated_stellate
6115,activated_stellate
5163,quiescent_stellate
6710,activated_stellate
4313,quiescent_stellate
6943,activated_stellate
1817,beta
4797,activated_stellate
6822,activated_stellate
1037,activated_stellate
7523,ductal
237,activated_stellate
7272,ductal
3642,mast
1115,quiescent_stellate
993,endothelial
3652,alpha
1110,acinar
1894,quiescent_stellate
1030,quiescent_stellate
358,schwann
525,beta
1184,acinar
444,acinar
4514,endothelial
4503,quiescent_stellate
5226,quiescent_stellate
4361,quiescent_stellate
4448,quiescent_stellate
803,alpha
5287,activated_stellate
6123,beta
1016,quiescent_stellate
485,quiescent_stellate
1882,activated_stellate
1888,activated_stellate
495,quiescent_stellate
383,endothelial
1775,ductal
1646,endothelial
250,endothelial
1741,endothelial
940,endothelial
1720,endothelial
7751,endothelial
4323,endothelial
822,endothelial
986,endothelial
2181,endothelial
2271,endothelial
3304,endothelial
2843,endothelial
7701,alpha
7104,quiescent_stellate
1033,ductal
7074,ductal
4488,ductal
412,ductal
1112,schwann
2405,schwann
3012,schwann
1834,quiescent_stellate
1523,quiescent_stellate
1078,quiescent_stellate
4421,endothelial
4347,quiescent_stellate
6939,endothelial
6760,endothelial
5871,endothelial
1064,quiescent_stellate
360,quiescent_stellate
6348,activated_stellate
6857,quiescent_stellate
1755,quiescent_stellate
4371,activated_stellate
4422,activated_stellate
398,quiescent_stellate
4358,endothelial
4181,endothelial
8365,endothelial
1807,ductal
1628,endothelial
289,endothelial
430,endothelial
1708,endothelial
7820,ductal
5353,alpha
4524,endothelial
1822,endothelial
1040,endothelial
361,endothelial
1087,quiescent_stellate
541,quiescent_stellate
7821,beta
976,quiescent_stellate
459,quiescent_stellate
6289,quiescent_stellate
1745,quiescent_stellate
6014,quiescent_stellate
7772,activated_stellate
350,quiescent_stellate
1694,quiescent_stellate
1835,quiescent_stellate
1837,quiescent_stellate
1829,quiescent_stellate
1854,quiescent_stellate
1131,activated_stellate
1135,quiescent_stellate
985,quiescent_stellate
1764,quiescent_stellate
1801,endothelial
302,endothelial
1700,quiescent_stellate
407,quiescent_stellate
1651,quiescent_stellate
914,quiescent_stellate
1788,quiescent_stellate
325,quiescent_stellate
1154,quiescent_stellate
455,quiescent_stellate
1130,quiescent_stellate
1828,quiescent_stellate
1779,quiescent_stellate
8472,endothelial
404,quiescent_stellate
1853,quiescent_stellate
2867,endothelial
7060,ductal
4291,ductal
6235,mast
7169,ductal
2830,beta
1681,quiescent_stellate
1810,macrophage
6941,macrophage
3658,macrophage
948,macrophage
553,macrophage
2890,macrophage
2844,macrophage
2730,macrophage
717,macrophage
8442,macrophage
6186,macrophage
5757,macrophage
871,macrophage
5846,macrophage
4150,macrophage
1743,macrophage
4217,macrophage
7845,macrophage
417,macrophage
6341,macrophage
5295,macrophage
5363,macrophage
6288,macrophage
911,macrophage
1067,macrophage
496,quiescent_stellate
536,quiescent_stellate
1143,quiescent_stellate
1771,quiescent_stellate
1731,quiescent_stellate
2347,schwann
1786,endothelial
464,endothelial
1107,endothelial
1055,endothelial
1787,endothelial
1772,endothelial
384,endothelial
6903,activated_stellate
5274,activated_stellate
6744,endothelial
4300,activated_stellate
3039,quiescent_stellate
1061,quiescent_stellate
6958,activated_stellate
269,quiescent_stellate
4410,quiescent_stellate
5102,endothelial
7691,endothelial
4931,endothelial
3445,endothelial
8475,ductal
5052,quiescent_stellate
7195,quiescent_stellate
4445,quiescent_stellate
6292,ductal
4385,ductal
5916,acinar
1890,quiescent_stellate
3173,macrophage
4502,ductal
8492,beta
8519,beta
4782,ductal
2134,endothelial
4832,ductal
4329,alpha
1096,quiescent_stellate
2486,quiescent_stellate
855,macrophage
7059,delta
5005,alpha
1180,activated_stellate
5405,activated_stellate
1163,quiescent_stellate
1161,quiescent_stellate
500,activated_stellate
7860,activated_stellate
3660,activated_stellate
1169,quiescent_stellate
3061,quiescent_stellate
1046,ductal
4549,beta
6300,alpha
1197,quiescent_stellate
1178,endothelial
1196,alpha
1164,endothelial
1158,endothelial
1186,endothelial
1098,endothelial
1187,endothelial
1889,epsilon
1908,endothelial
1707,endothelial
3474,ductal
2934,ductal
7053,ductal
2457,ductal
437,ductal
7062,ductal
5413,ductal
4512,ductal
6350,alpha
1838,schwann
7866,ductal
1019,schwann
3657,activated_stellate
510,activated_stellate
1085,endothelial
1808,quiescent_stellate
3058,quiescent_stellate
1185,quiescent_stellate
1923,quiescent_stellate
1162,quiescent_stellate
7844,quiescent_stellate
8551,quiescent_stellate
7186,quiescent_stellate
7231,quiescent_stellate
2437,quiescent_stellate
7199,activated_stellate
6323,quiescent_stellate
5431,activated_stellate
6353,quiescent_stellate
7259,quiescent_stellate
7095,quiescent_stellate
7213,quiescent_stellate
5391,quiescent_stellate
1193,quiescent_stellate
443,ductal
2454,ductal
6809,ductal
7005,ductal
3092,ductal
7822,ductal
2318,ductal
3659,ductal
6291,ductal
6355,endothelial
2858,ductal
3619,endothelial
4552,endothelial
5373,alpha
6335,delta
6346,endothelial
4557,endothelial
5390,quiescent_stellate
5404,endothelial
7211,endothelial
6337,endothelial
6274,endothelial
7072,endothelial
1118,endothelial
1146,endothelial
515,endothelial
509,endothelial
1933,endothelial
526,endothelial
520,endothelial
1179,endothelial
5416,endothelial
7254,endothelial
4435,endothelial
6315,endothelial
4395,endothelial
6249,endothelial
5377,endothelial
1134,endothelial
6358,endothelial
6980,endothelial
7120,endothelial
4516,endothelial
4492,endothelial
6268,endothelial
7185,endothelial
7214,endothelial
3605,endothelial
6352,endothelial
4485,endothelial
530,endothelial
5427,endothelial
7861,ductal
7865,ductal
7851,ductal
7762,ductal
3070,ductal
1069,ductal
2492,ductal
492,alpha
502,alpha
2766,alpha
1905,alpha
4476,delta
7848,beta
2909,beta
5807,delta
7864,beta
8494,beta
2496,beta
6366,endothelial
1068,gamma
550,beta
545,endothelial
1878,endothelial
1873,endothelial
1824,endothelial
4401,endothelial
3172,macrophage
8467,delta
1195,quiescent_stellate
2481,macrophage
1895,quiescent_stellate
1937,quiescent_stellate
6103,beta
1168,quiescent_stellate
1891,endothelial
1911,quiescent_stellate
1872,quiescent_stellate
3074,schwann
1160,quiescent_stellate
1925,quiescent_stellate
7226,activated_stellate
1166,quiescent_stellate
559,quiescent_stellate
4386,endothelial
5354,quiescent_stellate
513,quiescent_stellate
507,quiescent_stellate
489,quiescent_stellate
1832,quiescent_stellate
1138,endothelial
1868,endothelial
5375,endothelial
1877,quiescent_stellate
1924,quiescent_stellate
6295,quiescent_stellate
5270,quiescent_stellate
7108,quiescent_stellate
1005,quiescent_stellate
7261,ductal
3079,schwann
4556,ductal
561,endothelial
1188,endothelial
8530,mast
3621,mast
1120,mast
5399,alpha
6114,gamma
5406,alpha
7066,alpha
5412,alpha
4266,endothelial
5415,endothelial
4463,quiescent_stellate
8538,schwann
503,delta
3539,delta
1918,t_cell
7239,delta
5782,beta
4508,delta
1859,quiescent_stellate
534,endothelial
1907,endothelial
538,endothelial
564,endothelial
1088,endothelial
554,endothelial
3636,ductal
1136,endothelial
562,endothelial
1909,mast
552,endothelial
6322,endothelial
4558,endothelial
5361,endothelial
7243,endothelial
532,endothelial
1935,endothelial
1175,endothelial
498,endothelial
5428,endothelial
5273,ductal
544,ductal
1887,mast
527,mast
1917,endothelial
7253,macrophage
6293,endothelial
4447,endothelial
5414,endothelial
7176,beta
1194,endothelial
355,endothelial
548,endothelial
1870,endothelial
1137,endothelial
537,endothelial
457,endothelial
1139,endothelial
7209,endothelial
6364,endothelial
6356,endothelial
2472,ductal
2490,ductal
2587,beta
543,alpha
1181,alpha
3096,alpha
1159,alpha
2465,alpha
3623,gamma
3612,gamma
7836,gamma
8511,gamma
5346,gamma
8485,gamma
3335,gamma
8175,beta
5167,delta
7656,beta
4333,ductal
2666,alpha
6054,epsilon
7858,ductal
3601,ductal
4551,quiescent_stellate
1861,endothelial
4400,endothelial
558,endothelial
428,mast
6885,acinar
8527,gamma
461,acinar
5397,acinar
6320,acinar
3095,ductal
6982,acinar
1123,quiescent_stellate
4546,quiescent_stellate
4414,activated_stellate
1799,endothelial
423,endothelial
499,endothelial
1818,endothelial
1020,endothelial
3513,endothelial
2885,endothelial
3032,ductal
2974,endothelial
380,endothelial
2716,ductal
3174,ductal
3428,ductal
5382,ductal
6180,ductal
5312,ductal
5383,ductal
567,ductal
7091,ductal
1858,ductal
1847,ductal
2495,ductal
4420,alpha
7130,alpha
8417,ductal
2487,ductal
4475,ductal
4143,delta
4519,ductal
7162,quiescent_stellate
1105,ductal
6354,ductal
5396,ductal
8470,ductal
3514,ductal
5419,quiescent_stellate
4509,quiescent_stellate
7830,ductal
1059,endothelial
1812,endothelial
4294,endothelial
4518,ductal
7192,ductal
6275,ductal
5228,ductal
6331,endothelial
5401,quiescent_stellate
5381,quiescent_stellate
6328,acinar
7260,acinar
4426,ductal
5194,acinar
7034,acinar
8532,ductal
7856,ductal
3570,ductal
2283,ductal
3586,ductal
2526,ductal
8545,ductal
3574,ductal
8569,ductal
4952,ductal
6181,ductal
2462,mast
6329,t_cell
3000,mast
5231,mast
5394,delta
5371,mast
6891,ductal
7825,ductal
3583,ductal
374,ductal
1093,ductal
774,ductal
2473,ductal
7240,ductal
557,ductal
2484,ductal
3625,ductal
1645,ductal
8547,ductal
8518,ductal
3645,ductal
4496,ductal
