id,label,Var3
4066,alpha,alpha
4125,alpha,alpha
2435,alpha,alpha
3647,alpha,alpha
1049,alpha,alpha
7036,alpha,alpha
6081,alpha,alpha
7577,gamma,alpha
8167,gamma,alpha
6203,alpha,alpha
1928,alpha,alpha
2494,alpha,alpha
7232,alpha,alpha
5364,ductal,alpha
5424,ductal,alpha
7262,alpha,alpha
5103,alpha,alpha
1865,alpha,alpha
6006,alpha,alpha
6154,alpha,alpha
7824,alpha,alpha
2442,alpha,alpha
2488,alpha,alpha
1733,alpha,alpha
8541,beta,alpha
7110,alpha,alpha
7224,alpha,alpha
2489,alpha,alpha
6361,alpha,alpha
6301,alpha,alpha
7197,alpha,alpha
7069,alpha,alpha
5339,alpha,alpha
1000,alpha,alpha
4444,alpha,alpha
7016,alpha,alpha
6077,alpha,alpha
6017,delta,alpha
2211,beta,alpha
8393,alpha,alpha
2945,alpha,alpha
866,alpha,alpha
7174,alpha,alpha
6225,alpha,alpha
6008,alpha,alpha
7802,alpha,alpha
8399,alpha,alpha
3627,alpha,alpha
5368,alpha,alpha
7218,alpha,alpha
4424,alpha,alpha
5302,alpha,alpha
1025,alpha,alpha
8269,alpha,alpha
4457,alpha,alpha
1538,alpha,alpha
4378,alpha,alpha
3068,alpha,alpha
3053,alpha,alpha
3054,alpha,alpha
7854,alpha,alpha
7100,alpha,alpha
6200,alpha,alpha
7008,alpha,alpha
6198,alpha,alpha
7148,alpha,alpha
4504,alpha,alpha
8428,alpha,alpha
1875,alpha,alpha
4430,alpha,alpha
5007,alpha,alpha
843,alpha,alpha
1686,alpha,alpha
5122,alpha,alpha
971,alpha,alpha
4081,alpha,alpha
6272,alpha,alpha
7266,alpha,alpha
6314,delta,alpha
4533,quiescent_stellate,alpha
4510,delta,alpha
5340,ductal,alpha
7230,delta,alpha
8523,delta,alpha
6340,delta,alpha
1811,delta,alpha
5350,delta,alpha
4284,delta,alpha
3052,delta,alpha
6262,delta,alpha
1658,delta,alpha
415,delta,alpha
1036,delta,alpha
7114,delta,alpha
7223,alpha,alpha
7258,alpha,alpha
4479,alpha,alpha
5407,alpha,alpha
519,alpha,alpha
1147,alpha,alpha
1833,alpha,alpha
4554,alpha,alpha
5386,alpha,alpha
8549,alpha,alpha
2382,alpha,alpha
2966,alpha,alpha
2702,alpha,alpha
3398,alpha,alpha
3272,alpha,alpha
3278,alpha,alpha
3637,alpha,alpha
3616,alpha,alpha
3631,alpha,alpha
3629,alpha,alpha
1896,alpha,alpha
2483,ductal,alpha
2461,ductal,alpha
6258,alpha,alpha
5237,alpha,alpha
6267,alpha,alpha
7753,alpha,alpha
4236,alpha,alpha
4814,alpha,alpha
4360,alpha,alpha
4467,alpha,alpha
5224,alpha,alpha
1133,alpha,alpha
7156,alpha,alpha
4158,alpha,alpha
159,alpha,alpha
5125,alpha,alpha
5959,alpha,alpha
1796,alpha,alpha
494,alpha,alpha
7133,alpha,alpha
1129,alpha,alpha
1769,gamma,alpha
7724,gamma,alpha
3649,gamma,alpha
7841,gamma,alpha
8459,gamma,alpha
7771,gamma,alpha
8505,gamma,alpha
8436,gamma,alpha
8246,gamma,alpha
3535,gamma,alpha
8381,gamma,alpha
7768,beta,alpha
3590,gamma,alpha
8217,gamma,alpha
2949,gamma,alpha
8438,gamma,alpha
8261,gamma,alpha
8182,gamma,alpha
479,gamma,alpha
3622,gamma,alpha
7775,beta,alpha
6009,ductal,alpha
5728,alpha,alpha
5336,quiescent_stellate,alpha
1149,alpha,alpha
5429,alpha,alpha
933,epsilon,alpha
315,beta,alpha
1729,epsilon,alpha
1781,epsilon,alpha
2336,epsilon,alpha
6650,epsilon,alpha
7592,epsilon,alpha
309,epsilon,alpha
3010,ductal,alpha
6318,mast,alpha
7125,alpha,alpha
274,alpha,beta
6128,activated_stellate,beta
7757,beta,beta
8411,beta,beta
8344,beta,beta
7696,beta,beta
369,beta,beta
1641,quiescent_stellate,beta
8334,beta,beta
8357,beta,beta
8348,beta,beta
8102,beta,beta
8460,beta,beta
6324,alpha,beta
2480,beta,beta
8522,activated_stellate,beta
5384,beta,beta
7182,beta,beta
7855,beta,beta
4177,delta,beta
7208,beta,beta
4894,beta,beta
546,beta,beta
556,beta,beta
8553,beta,beta
1931,beta,beta
8561,beta,beta
1141,beta,beta
1794,mast,beta
1192,beta,beta
1685,beta,beta
416,beta,beta
563,beta,beta
3650,beta,beta
539,beta,beta
1910,beta,beta
1893,beta,beta
1922,beta,beta
8537,beta,beta
3651,beta,beta
8499,beta,beta
5365,beta,beta
1850,beta,beta
1144,beta,beta
1172,beta,beta
3418,beta,beta
3639,beta,beta
3093,beta,beta
6321,beta,beta
8564,beta,beta
4541,beta,beta
5432,beta,beta
524,beta,beta
1555,beta,beta
341,beta,beta
379,beta,beta
8543,beta,beta
6082,activated_stellate,beta
172,beta,beta
1586,beta,beta
1673,beta,beta
881,endothelial,beta
961,beta,beta
1529,beta,beta
5953,beta,beta
517,beta,beta
2475,beta,beta
6648,beta,beta
3088,beta,beta
1930,beta,beta
1879,beta,beta
4536,beta,beta
1727,mast,beta
5385,beta,beta
7317,beta,beta
1836,beta,beta
1116,beta,beta
2912,beta,beta
1906,beta,beta
1092,beta,beta
1790,beta,beta
1124,beta,beta
2832,beta,beta
1867,beta,beta
2841,beta,beta
1927,beta,beta
7842,beta,beta
8504,beta,beta
8451,beta,beta
8533,beta,beta
7655,beta,beta
7776,beta,beta
5372,alpha,beta
8220,beta,beta
4555,beta,beta
8559,beta,beta
3362,beta,beta
6025,beta,beta
1521,beta,beta
8546,beta,beta
7051,activated_stellate,beta
7863,beta,beta
7852,beta,beta
470,beta,beta
8560,beta,beta
1936,beta,beta
8221,beta,beta
8491,beta,beta
8493,beta,beta
5379,beta,beta
7245,beta,beta
6365,beta,beta
3653,beta,beta
2479,beta,beta
547,beta,beta
2840,beta,beta
7703,beta,beta
7769,beta,beta
7681,beta,beta
7702,beta,beta
4412,delta,beta
7808,beta,beta
8521,beta,beta
8007,beta,beta
7765,beta,beta
3569,ductal,beta
8374,beta,beta
7591,beta,beta
8351,beta,beta
8283,beta,beta
2476,ductal,beta
335,beta,activated_stellate
7220,quiescent_stellate,activated_stellate
5866,endothelial,activated_stellate
4274,quiescent_stellate,activated_stellate
4428,quiescent_stellate,activated_stellate
6334,quiescent_stellate,activated_stellate
4999,activated_stellate,activated_stellate
5325,quiescent_stellate,activated_stellate
6255,endothelial,activated_stellate
5259,quiescent_stellate,activated_stellate
5716,activated_stellate,activated_stellate
5952,activated_stellate,activated_stellate
6824,quiescent_stellate,activated_stellate
4053,activated_stellate,activated_stellate
6960,activated_stellate,activated_stellate
5956,activated_stellate,activated_stellate
4131,activated_stellate,activated_stellate
6102,activated_stellate,activated_stellate
4254,activated_stellate,activated_stellate
4114,activated_stellate,activated_stellate
4352,activated_stellate,activated_stellate
6041,activated_stellate,activated_stellate
3193,quiescent_stellate,activated_stellate
4042,activated_stellate,activated_stellate
4265,activated_stellate,activated_stellate
